id,xmin,ymin,xmax,ymax,direction,split,image_path
image_32,-271.7014217376709,220.83716773986816,-151.10130071640015,443.9450194835663,1,train,data\train_data\image_32.png
image_33,-189.0041971206665,227.5010051727295,-113.71816277503969,356.7970552444458,0,train,data\train_data\image_33.png
image_34,822.3130989074707,225.47565841674805,885.0076103210449,363.1540479660034,1,train,data\train_data\image_34.png
image_35,885.5064582824707,217.65519523620603,941.5002536773682,410.7355918884277,0,train,data\train_data\image_35.png
image_37,-251.9421029090881,221.7829074859619,-105.6473422050476,448.9063444137573,1,train,data\train_data\image_37.png
image_40,884.252986907959,214.2437400817871,939.8289585113524,440.8452978134155,1,train,data\train_data\image_40.png
image_41,804.4773960113525,228.32323455810547,883.676290512085,352.70049953460693,1,train,data\train_data\image_41.png
image_42,-237.93631553649905,217.65442276000977,-169.54928755760193,424.1332294940949,1,train,data\train_data\image_42.png
image_43,-185.44816732406616,226.9962062835693,-102.17316269874571,365.6912031173706,1,train,data\train_data\image_43.png
image_45,813.759126663208,227.46864700317383,862.1895217895508,345.6696357727051,0,train,data\train_data\image_45.png
image_46,844.9871635437012,223.85177040100095,958.1408500671388,420.9076192378998,1,val,data\train_data\image_46.png
image_47,824.9702453613281,223.4641876220703,926.7917060852052,399.27584314346313,0,val,data\train_data\image_47.png
image_52,-187.92927503585813,227.51799964904785,-95.31020522117616,375.0593509674072,1,val,data\train_data\image_52.png
image_53,-272.4267554283142,223.8524570465088,-163.7584090232849,410.3942289352417,1,train,data\train_data\image_53.png
image_54,-192.1303653717041,223.842472076416,-96.8377447128296,391.7009630203247,1,val,data\train_data\image_54.png
image_55,-212.5350880622864,223.93617057800293,-134.8171591758728,380.8338322639465,0,val,data\train_data\image_55.png
image_56,-199.9834442138672,225.99009895324707,-112.92717933654784,373.11271810531616,0,train,data\train_data\image_56.png
image_57,812.0327281951904,220.9802761077881,925.397129058838,419.4025602340698,1,train,data\train_data\image_57.png
image_58,-306.4489245414734,221.5422096252441,-159.38936948776245,449.3810489177704,1,train,data\train_data\image_58.png
image_59,819.3152046203613,221.4899387359619,878.0704307556152,391.0581698417664,1,train,data\train_data\image_59.png
image_60,807.258996963501,227.0856704711914,869.5821189880371,350.3280963897705,0,train,data\train_data\image_60.png
image_61,824.3944072723389,221.19322204589844,966.2912464141846,443.7999656200409,1,train,data\train_data\image_61.png
image_62,-261.99201822280884,216.3275089263916,-165.9980535507202,439.772020816803,1,train,data\train_data\image_62.png
image_63,808.6797523498535,224.1748943328857,928.101568222046,413.3916654586792,0,train,data\train_data\image_63.png
image_65,-191.71518087387085,228.09778594970703,-101.5165364742279,365.55961751937866,0,train,data\train_data\image_65.png
image_66,-202.4925112724304,219.9841823577881,-155.0467014312744,396.28543758392334,0,train,data\train_data\image_66.png
image_67,840.5161571502686,224.98467826843265,880.0938034057617,356.0771360397339,0,val,data\train_data\image_67.png
image_68,-147.7303647994995,224.64318656921387,-116.34468913078308,356.3799180984497,1,val,data\train_data\image_68.png
image_69,833.8525199890137,220.06377601623532,974.6392250061036,457.5996305942536,1,train,data\train_data\image_69.png
image_71,839.0378093719482,216.6387882232666,952.9830265045166,446.41050958633423,1,train,data\train_data\image_71.png
image_72,805.4179286956787,227.6847972869873,892.593412399292,365.0167455673218,0,val,data\train_data\image_72.png
image_74,-192.940092086792,226.9743766784668,-104.54677820205688,366.54846572875977,0,train,data\train_data\image_74.png
image_75,796.0147476196289,229.52749633789065,874.3556785583496,355.0411310195923,1,train,data\train_data\image_75.png
image_76,809.6816539764404,227.0318546295166,901.5550804138184,373.3995714187622,1,train,data\train_data\image_76.png
image_79,-347.5829601287842,221.8880500793457,-209.22794580459595,448.778356552124,1,val,data\train_data\image_79.png
image_81,841.0382652282715,217.5836124420166,945.075616836548,432.6009168624878,1,val,data\train_data\image_81.png
image_84,838.883056640625,225.07531547546387,912.3162746429444,367.8354468345642,0,train,data\train_data\image_84.png
image_85,834.1761875152588,224.477876663208,899.5343685150146,376.5383496284485,1,train,data\train_data\image_85.png
image_86,-204.0091609954834,221.55024909973145,-146.64552927017212,389.508725643158,0,train,data\train_data\image_86.png
image_87,-257.6904845237732,214.98583221435547,-189.00649309158325,437.9296758174896,1,val,data\train_data\image_87.png
image_88,830.0049018859863,228.02603149414065,905.9757900238036,354.5559158325196,0,train,data\train_data\image_88.png
image_89,-205.10058403015137,223.53248023986816,-156.6998326778412,369.3482413291931,0,train,data\train_data\image_89.png
image_90,817.3545742034912,227.91053199768064,879.9134731292725,354.7395362854004,1,train,data\train_data\image_90.png
image_91,848.4028816223145,219.95328330993647,989.6212291717528,451.44436502456665,0,val,data\train_data\image_91.png
image_92,-201.22747421264648,219.59548377990723,-148.43418717384338,397.87138843536377,0,train,data\train_data\image_92.png
image_93,891.3702392578125,218.61320877075195,948.2797622680664,410.49834156036377,0,train,data\train_data\image_93.png
image_94,-171.71329379081726,227.0930233001709,-96.86216354370116,354.4255247116089,1,train,data\train_data\image_94.png
image_95,800.7951736450195,228.94473457336423,870.7960224151611,350.635684967041,0,train,data\train_data\image_95.png
image_97,-136.97967410087583,224.95598220825195,-103.94346356391908,352.298397064209,1,train,data\train_data\image_97.png
image_98,-210.5094408988953,224.40861129760745,-115.63159704208374,396.3527431488037,0,train,data\train_data\image_98.png
image_99,-183.8292932510376,225.1452388763428,-115.65032958984376,362.8245868682861,1,train,data\train_data\image_99.png
image_100,-253.668909072876,215.60472869873047,-174.38595414161682,434.1968097686768,1,train,data\train_data\image_100.png
image_101,-194.96779918670651,225.05274200439453,-119.16980624198914,385.9528102874756,0,val,data\train_data\image_101.png
image_102,826.4478206634521,225.67387008666992,922.7647876739502,383.902765750885,1,train,data\train_data\image_102.png
image_103,805.3287506103516,225.29518508911133,889.2548561096191,374.97047328948975,1,train,data\train_data\image_103.png
image_104,-195.800142288208,226.94050216674805,-87.57884502410889,394.2188992500305,1,train,data\train_data\image_104.png
image_105,830.334062576294,224.86474418640137,946.5210056304932,412.5771894454956,0,train,data\train_data\image_105.png
image_106,-286.09649419784546,223.65238571166992,-163.1025767326355,415.2265539169312,1,train,data\train_data\image_106.png
image_107,797.0186233520508,220.37579917907715,907.4934482574464,418.04693603515625,1,train,data\train_data\image_107.png
image_108,837.4812698364258,225.4864444732666,925.4880237579346,372.4650683403015,0,val,data\train_data\image_108.png
image_110,872.4239730834961,218.25360679626465,917.7478981018066,406.8137373924256,0,val,data\train_data\image_110.png
image_111,833.1102561950684,222.26979637146,876.4118385314941,375.17875576019287,0,train,data\train_data\image_111.png
image_112,799.5810127258301,228.1429901123047,857.1382141113281,349.7554340362549,1,train,data\train_data\image_112.png
image_113,-186.1466360092163,224.5556964874268,-135.7155168056488,366.3509693145752,0,train,data\train_data\image_113.png
image_115,-279.83561754226685,215.6343116760254,-232.0295763015747,428.3585097789765,0,train,data\train_data\image_115.png
image_116,832.3806095123291,227.20380210876465,890.3716850280762,355.15302562713623,0,train,data\train_data\image_116.png
image_117,804.6523189544678,227.89376640319824,889.4717502593994,361.9541063308716,1,train,data\train_data\image_117.png
image_118,-270.07563829422,221.34703063964844,-156.16093397140503,433.5977544784546,0,val,data\train_data\image_118.png
image_119,-178.23749899864197,227.25544357299805,-118.91665935516356,347.2366180419922,0,train,data\train_data\image_119.png
image_120,-180.7997488975525,229.2584457397461,-102.27447509765624,350.90895557403564,1,train,data\train_data\image_120.png
image_121,824.108419418335,221.3990154266357,905.5893802642822,398.639036655426,0,train,data\train_data\image_121.png
image_122,-264.00545597076416,218.43124771118164,-142.77733325958252,436.3929452896118,0,train,data\train_data\image_122.png
image_123,819.3085956573486,225.5450954437256,858.3799266815186,350.7297983169556,0,train,data\train_data\image_123.png
image_124,-240.48778295516968,218.73875045776367,-153.52700471878052,413.0217852592468,1,train,data\train_data\image_124.png
image_125,824.042158126831,223.73069190979004,924.2918014526368,395.0870838165283,0,train,data\train_data\image_125.png
image_126,-252.88765668869016,220.96783065795896,-114.1784405708313,442.77607345581055,1,train,data\train_data\image_126.png
image_127,834.1172218322754,222.817138671875,914.3347549438477,383.6462893486023,0,train,data\train_data\image_127.png
image_128,-251.60255670547485,225.14973068237305,-145.03257751464844,390.6073369979858,0,val,data\train_data\image_128.png
image_130,843.6890602111816,224.0729274749756,913.7499046325684,374.4581069946289,0,train,data\train_data\image_130.png
image_132,819.3251609802246,224.4482078552246,858.1046676635742,358.2509412765503,1,train,data\train_data\image_132.png
image_133,-193.4307217597961,228.6614933013916,-109.37205076217651,360.0552954673767,0,train,data\train_data\image_133.png
image_134,813.2795906066895,224.41665077209475,919.3812561035156,396.3532009124756,1,train,data\train_data\image_134.png
image_135,851.0604572296143,224.5610752105713,894.285306930542,364.9518361091614,0,train,data\train_data\image_135.png
image_136,847.8905582427979,224.6271076202393,928.3951091766356,374.5409908294678,0,train,data\train_data\image_136.png
image_137,-154.6054244041443,225.31569862365723,-126.3863968849182,349.65258026123047,0,val,data\train_data\image_137.png
image_140,820.6197452545166,222.49799156188965,854.2416858673096,371.791748046875,1,train,data\train_data\image_140.png
image_141,-222.05999851226807,225.2313270568848,-108.8668727874756,407.4433197975159,1,train,data\train_data\image_141.png
image_142,862.538423538208,221.3141288757324,949.4304084777832,411.6638293266296,1,train,data\train_data\image_142.png
image_143,-185.9190130233765,221.3756694793701,-149.6983766555786,383.9992966651917,0,train,data\train_data\image_143.png
image_144,849.1354465484619,222.42283248901367,934.5641899108888,403.36529636383057,0,train,data\train_data\image_144.png
image_145,829.4961833953857,217.95371437072757,948.3794975280762,456.0563536882401,0,train,data\train_data\image_145.png
image_146,-243.42323541641235,216.0505332946777,-176.71704053878784,433.9871683120728,0,train,data\train_data\image_146.png
image_147,-203.2057857513428,220.82881355285645,-146.39134168624878,388.5131325721741,1,train,data\train_data\image_147.png
image_148,-233.46303462982175,216.62986183166504,-180.26139736175537,420.94544196128845,0,train,data\train_data\image_148.png
image_149,-225.7827115058899,226.349157333374,-118.18298935890198,391.5756502151489,0,val,data\train_data\image_149.png
image_150,832.1238040924072,220.44709587097168,965.855827331543,440.7964029312134,1,train,data\train_data\image_150.png
image_151,-219.24509525299072,226.2771453857422,-138.52274894714355,380.1588382720947,1,train,data\train_data\image_151.png
image_152,828.3464813232422,228.616174697876,912.6765060424804,360.47993564605713,0,train,data\train_data\image_152.png
image_155,849.5429706573486,223.45611953735352,985.8663082122804,438.4861590862274,1,train,data\train_data\image_155.png
image_157,839.8907947540283,219.57920455932617,986.653289794922,452.5486787557602,1,val,data\train_data\image_157.png
image_158,831.4641094207764,225.7416763305664,896.2135791778564,369.16746044158936,1,train,data\train_data\image_158.png
image_159,847.1197986602783,223.28319931030276,878.4780406951904,366.3582792282105,0,train,data\train_data\image_159.png
image_160,828.0268478393555,220.78383827209475,895.4268550872803,405.92771434783936,0,train,data\train_data\image_160.png
image_163,-157.13592767715454,221.2178268432617,-119.70275044441225,382.03114891052246,1,train,data\train_data\image_163.png
image_164,-177.3041546344757,223.83074188232425,-141.96688771247864,362.8523960113525,1,train,data\train_data\image_164.png
image_167,801.4121246337891,228.5655632019043,859.0248584747314,345.6211128234863,0,val,data\train_data\image_167.png
image_168,-261.4687728881836,220.6165542602539,-153.17424058914185,415.778302192688,0,train,data\train_data\image_168.png
image_169,853.9036846160889,216.7607250213623,950.2397060394288,446.881441116333,0,val,data\train_data\image_169.png
image_170,-246.8843579292297,224.31353950500488,-117.91860938072205,421.82652258872986,0,train,data\train_data\image_170.png
image_172,-146.60051107406616,224.7497310638428,-111.47358298301695,355.4359664916992,1,train,data\train_data\image_172.png
image_173,819.7883033752441,224.78323364257807,852.1650123596191,355.878981590271,1,train,data\train_data\image_173.png
image_174,818.8341236114502,224.91601371765137,931.1733627319336,405.6372203826904,1,train,data\train_data\image_174.png
image_175,-342.4085283279419,219.76831817626956,-212.63214111328125,433.3073570728302,0,train,data\train_data\image_175.png
image_177,-283.5981774330139,222.2717704772949,-155.2391767501831,422.1762504577637,0,train,data\train_data\image_177.png
image_178,-231.69198274612427,226.69391059875488,-129.6544325351715,394.32575845718384,0,train,data\train_data\image_178.png
image_179,-159.89397883415222,225.4422416687012,-112.91691184043884,354.688910484314,1,train,data\train_data\image_179.png
image_181,814.0602207183838,220.3880443572998,960.089807510376,462.51684391498566,1,val,data\train_data\image_181.png
image_182,849.6874237060547,222.76998901367188,881.6531753540039,369.8448648452759,0,train,data\train_data\image_182.png
image_184,829.7060394287109,221.0566940307617,935.8333683013916,429.27448773384094,0,train,data\train_data\image_184.png
image_186,798.8536834716797,228.7006320953369,872.8407669067383,350.6937780380249,0,val,data\train_data\image_186.png
image_187,-217.5978755950928,216.608060836792,-153.39625239372253,428.5307612419128,1,train,data\train_data\image_187.png
image_188,-276.2724208831787,220.18894577026367,-161.6111934185028,422.7035477161408,1,train,data\train_data\image_188.png
image_191,809.7340106964111,223.923152923584,887.8189086914062,390.7533564567566,1,val,data\train_data\image_191.png
image_194,-160.70497155189514,226.54167556762692,-112.82626390457152,346.80988216400146,0,train,data\train_data\image_194.png
image_195,-348.2358956336975,220.0346508026123,-210.03833770751956,439.91916680336,0,train,data\train_data\image_195.png
image_197,-278.6728048324585,216.34859466552732,-147.96873807907104,451.0437502861023,1,train,data\train_data\image_197.png
image_198,853.1414222717285,220.89990997314453,892.2411632537842,390.6829609870911,0,train,data\train_data\image_198.png
image_199,867.4257946014404,222.38034629821777,993.781442642212,424.4804503917694,0,train,data\train_data\image_199.png
image_200,804.3283081054688,228.5783519744873,876.7415142059326,348.80144023895264,1,train,data\train_data\image_200.png
image_203,815.7215595245361,223.23587799072263,906.2727642059326,402.9062094688416,1,train,data\train_data\image_203.png
image_204,-204.04495239257807,225.7715740203857,-133.41200351715088,369.8990454673767,0,train,data\train_data\image_204.png
image_205,862.6560974121094,217.09600830078125,958.6368656158448,445.8309700489044,1,train,data\train_data\image_205.png
image_207,821.3329982757568,227.79892349243164,912.1356010437012,369.3829097747803,0,train,data\train_data\image_207.png
image_209,837.9442405700684,216.4465847015381,897.7103805541992,421.1124470233917,1,train,data\train_data\image_209.png
image_210,-174.56472873687744,226.3898124694824,-111.40966057777403,355.44975662231445,0,train,data\train_data\image_210.png
image_211,-168.914794921875,225.3168716430664,-121.12456798553468,355.31547451019287,0,train,data\train_data\image_211.png
image_212,874.9575233459473,223.73787307739255,1007.2537708282472,428.37469959259033,0,val,data\train_data\image_212.png
image_214,832.4716758728027,224.37213325500488,895.3224849700928,376.2235155105591,1,train,data\train_data\image_214.png
image_215,-174.7344267368317,229.80490112304688,-93.7049674987793,357.1824922561645,0,train,data\train_data\image_215.png
image_217,-258.83134603500366,223.0185832977295,-146.9395101070404,406.61545419692993,0,train,data\train_data\image_217.png
image_218,848.7767601013184,219.1910495758057,930.8064365386964,412.8906717300415,0,train,data\train_data\image_218.png
image_220,813.1472396850586,225.57668113708496,912.9723644256592,389.2705454826355,1,train,data\train_data\image_220.png
image_226,-244.4168329238892,216.11719512939453,-196.6761302947998,426.2804093360901,0,train,data\train_data\image_226.png
image_228,847.9428291320801,219.38482666015625,991.8681907653807,455.71842753887177,0,val,data\train_data\image_228.png
image_230,827.9555225372314,218.6343231201172,919.201955795288,433.2163407802582,1,val,data\train_data\image_230.png
image_235,821.5904903411865,224.5683994293213,852.6821422576904,357.0836868286133,1,train,data\train_data\image_235.png
image_236,824.8340320587158,227.5056114196777,914.1411209106444,371.54308223724365,1,train,data\train_data\image_236.png
image_237,811.7385005950928,221.24480628967285,908.855152130127,406.89310216903687,1,val,data\train_data\image_237.png
image_238,830.7808971405029,218.9416542053223,874.8772716522217,401.99129009246826,1,val,data\train_data\image_238.png
image_239,820.6478977203369,228.7292423248291,891.1209869384766,353.4361400604248,0,train,data\train_data\image_239.png
image_242,858.4627532958984,223.93070602416992,941.081485748291,391.8824305534363,0,val,data\train_data\image_242.png
image_243,-271.4038681983948,219.4418182373047,-165.3176200389862,424.3013503551483,0,train,data\train_data\image_243.png
image_244,-215.42108058929443,226.25048065185547,-111.10896348953248,398.7033882141113,1,train,data\train_data\image_244.png
image_245,-251.95117950439453,215.220121383667,-199.67659950256348,432.3420264720917,0,train,data\train_data\image_245.png
image_246,-213.86269569396973,226.3519325256348,-126.76510334014893,371.7866554260254,0,train,data\train_data\image_246.png
image_247,841.9961357116699,222.5403347015381,930.9736347198486,394.3617072105408,0,val,data\train_data\image_247.png
image_249,-174.50053811073303,224.5464553833008,-122.14768052101137,366.1953225135803,0,train,data\train_data\image_249.png
image_251,-237.95953273773196,220.69952392578125,-164.3121886253357,406.51243591308594,1,train,data\train_data\image_251.png
image_252,-203.43010425567627,225.09525680541992,-118.46914887428284,374.9356760978699,0,train,data\train_data\image_252.png
image_254,873.0057334899902,221.3483180999756,941.9662284851074,400.5230417251587,0,train,data\train_data\image_254.png
image_255,-264.1836190223694,216.7212142944336,-162.58766770362854,450.3540667295456,1,train,data\train_data\image_255.png
image_258,-182.47934818267825,228.86268043518064,-118.38033556938171,349.9925842285156,0,val,data\train_data\image_258.png
image_259,-269.621057510376,226.30589866638184,-158.59994173049927,395.9526791572571,0,train,data\train_data\image_259.png
image_261,850.207986831665,222.10168266296387,898.1183338165283,378.7358655929565,0,train,data\train_data\image_261.png
image_262,827.7677249908447,227.6298656463623,910.9862422943116,367.7828683853149,0,val,data\train_data\image_262.png
image_263,831.4257431030273,224.69479942321777,954.0942764282228,421.1658408641815,0,val,data\train_data\image_263.png
image_264,834.6040534973145,217.877067565918,970.8501434326172,452.4612226486206,0,train,data\train_data\image_264.png
image_265,833.4951210021973,223.07614707946777,919.6014976501464,388.68360662460327,0,train,data\train_data\image_265.png
image_266,-149.8271656036377,225.79715156555176,-108.05023670196532,349.5448055267334,1,train,data\train_data\image_266.png
image_267,809.0710544586182,227.92083168029785,862.470874786377,346.0329570770264,0,val,data\train_data\image_267.png
image_268,-133.24448347091675,225.7845630645752,-98.82294416427612,347.5226345062256,1,val,data\train_data\image_268.png
image_269,860.2064895629883,214.3584098815918,939.814624786377,451.6898765563965,1,train,data\train_data\image_269.png
image_270,821.8826580047607,221.1300792694092,971.8864631652832,450.34027123451233,0,train,data\train_data\image_270.png
image_272,-184.89625453948972,225.9694709777832,-105.91730117797852,366.6707673072815,0,train,data\train_data\image_272.png
image_273,854.7374439239502,221.36785888671875,903.7044525146484,386.8921055793762,1,train,data\train_data\image_273.png
image_275,-208.18767786026,227.68634223937988,-134.80148434638977,365.2742233276367,0,val,data\train_data\image_275.png
image_276,-206.65678024291992,226.52159118652344,-115.70212841033936,372.9917540550232,1,train,data\train_data\image_276.png
image_277,-213.30531120300293,222.22836875915527,-137.01902747154236,392.1254887580872,1,train,data\train_data\image_277.png
image_280,-201.91276788711548,223.914026260376,-134.76288199424744,382.4722113609314,1,train,data\train_data\image_280.png
image_281,-201.81657314300537,225.70096397399905,-135.27569890022278,362.52938652038574,0,val,data\train_data\image_281.png
image_282,-303.7272334098816,215.7928409576416,-233.75415086746216,437.4174883365631,0,train,data\train_data\image_282.png
image_288,793.2733154296875,227.17158699035645,883.1503200531006,367.2770466804504,1,train,data\train_data\image_288.png
image_289,-189.29919719696045,218.18099403381348,-122.73611426353456,413.9846482276917,1,train,data\train_data\image_289.png
image_290,-201.15222215652463,226.5577545166016,-117.1760880947113,375.4005494117737,0,train,data\train_data\image_290.png
image_291,-163.95237565040588,222.9721775054932,-126.47862195968628,365.6725420951843,0,train,data\train_data\image_291.png
image_292,-173.85193705558777,224.9935188293457,-83.8856953382492,381.5169944763184,1,train,data\train_data\image_292.png
image_294,813.6583614349365,226.5788974761963,852.7740669250488,346.01408863067627,1,train,data\train_data\image_294.png
image_295,807.1166896820068,224.97835540771484,888.5877799987793,370.71422243118286,1,train,data\train_data\image_295.png
image_296,818.2934761047363,229.0924777984619,901.9478416442872,356.9713630676269,0,train,data\train_data\image_296.png
image_298,-230.88948726654053,224.9821891784668,-131.42500162124634,387.1545901298523,0,train,data\train_data\image_298.png
image_299,821.5746974945068,221.39795684814453,930.3221797943116,408.7688817977905,1,train,data\train_data\image_299.png
image_301,-150.66667556762695,225.9733619689941,-101.73050165176392,354.4728174209595,1,train,data\train_data\image_301.png
image_302,822.5984001159668,227.70983123779297,908.2628345489502,364.2914834022522,0,train,data\train_data\image_302.png
image_304,-264.6753430366516,214.40910720825195,-196.4875602722168,442.7898528575897,1,train,data\train_data\image_304.png
image_306,826.5773391723633,228.33018684387207,904.7650623321532,353.60529804229736,0,train,data\train_data\image_306.png
image_307,-181.88477754592896,223.5558261871338,-90.855131149292,384.2973222732544,1,val,data\train_data\image_307.png
image_308,-242.2084736824036,215.4889430999756,-157.36588954925537,448.186235666275,0,train,data\train_data\image_308.png
image_310,815.7709980010986,223.33547019958496,933.8308525085448,419.3322899341583,0,train,data\train_data\image_310.png
image_311,811.6021156311035,228.13798332214355,867.1271896362305,347.54459285736084,0,train,data\train_data\image_311.png
image_312,827.4281787872314,219.1085662841797,893.1362915039062,411.74845838546753,0,train,data\train_data\image_312.png
image_313,806.1468887329102,226.55309104919436,909.920482635498,385.8040084838867,0,train,data\train_data\image_313.png
image_321,848.3657169342041,224.24696350097656,972.9748821258544,425.7067348957062,0,train,data\train_data\image_321.png
image_322,829.5267391204834,226.44422912597656,897.0328330993652,353.7743844985962,0,train,data\train_data\image_322.png
image_323,813.6981868743896,225.93021774291992,913.5894870758056,385.3418960571289,0,val,data\train_data\image_323.png
image_324,861.9503116607666,223.1569995880127,990.256462097168,418.9273443222046,0,train,data\train_data\image_324.png
image_326,-231.23690843582156,223.73501205444336,-161.2989091873169,386.0247292518616,1,train,data\train_data\image_326.png
image_327,853.937931060791,219.60089111328125,923.718194961548,404.8623194694519,1,val,data\train_data\image_327.png
image_328,788.6796569824219,223.6781635284424,862.397403717041,378.2358660697937,1,train,data\train_data\image_328.png
image_329,850.7289791107178,220.3382625579834,1006.466875076294,458.93246853351593,0,train,data\train_data\image_329.png
image_330,-258.9205241203308,219.95580101013184,-140.34079313278198,429.6420612335205,1,val,data\train_data\image_330.png
image_331,-291.7397332191468,219.29047012329104,-175.26380896568298,433.1488564014435,1,train,data\train_data\image_331.png
image_332,-192.58234977722168,222.64699363708496,-154.87355947494507,373.5014524459839,1,train,data\train_data\image_332.png
image_334,908.7583351135254,217.49148750305176,962.8112411499023,420.58228874206543,0,train,data\train_data\image_334.png
image_335,-291.0299348831177,223.16638374328613,-167.10572004318237,428.80184674263,0,train,data\train_data\image_335.png
image_336,-227.7539420127869,216.0339393615723,-164.0542459487915,429.44655680656433,1,train,data\train_data\image_336.png
image_337,-298.0308222770691,217.8503456115723,-186.06745719909668,438.2413949966431,0,train,data\train_data\image_337.png
image_338,-204.69539880752563,220.01479530334475,-154.7896707057953,389.7830119132996,1,train,data\train_data\image_338.png
image_339,-276.4288902282715,217.72614860534668,-155.71015119552612,444.4836392402649,0,train,data\train_data\image_339.png
image_340,-168.15828323364258,228.65508460998532,-90.15522480010986,352.9546585083008,0,val,data\train_data\image_340.png
image_344,-210.8739638328552,222.36280822753903,-130.88857054710388,392.83455753326416,1,val,data\train_data\image_344.png
image_347,-152.31237173080444,226.1471691131592,-102.73290753364564,353.7718095779419,1,train,data\train_data\image_347.png
image_348,-259.5579242706299,214.767765045166,-181.17111682891849,446.1009361743927,0,train,data\train_data\image_348.png
image_349,-300.9033179283142,221.8041076660156,-174.76033687591553,424.8880925178528,1,train,data\train_data\image_349.png
image_350,807.7588748931885,225.5769100189209,889.4712352752686,384.0417041778565,0,val,data\train_data\image_350.png
image_351,-225.9623336791992,226.4751853942871,-124.4294571876526,390.0419487953186,0,train,data\train_data\image_351.png
image_356,-150.34361958503723,224.51501274108887,-111.86651587486269,358.3762826919556,1,train,data\train_data\image_356.png
image_359,-216.27254247665405,224.20882606506348,-107.12011098861694,402.0653762817383,1,train,data\train_data\image_359.png
image_365,-225.3084111213684,222.51816177368164,-106.4799964427948,414.65003633499146,1,train,data\train_data\image_365.png
image_367,-290.3970408439636,217.65885734558103,-189.7734332084656,434.7299399375916,1,train,data\train_data\image_367.png
image_369,851.4221477508545,218.0618896484375,923.3561611175536,426.8381049633026,1,train,data\train_data\image_369.png
image_372,-251.5650057792664,217.31058502197263,-191.4533543586731,421.3230254650116,0,train,data\train_data\image_372.png
image_373,-236.48152828216556,226.05681800842285,-131.6109001636505,388.30718898773193,1,val,data\train_data\image_373.png
image_376,-274.5368814468384,218.1548442840576,-198.43881368637085,426.5911486148834,0,train,data\train_data\image_376.png
image_378,852.5156307220459,218.254207611084,907.0075607299804,413.8864078521729,0,val,data\train_data\image_378.png
image_379,895.295877456665,214.7242488861084,962.8702068328856,440.8752455711365,1,train,data\train_data\image_379.png
image_380,865.5826663970947,215.4224529266357,914.4894218444824,428.43490266799927,1,train,data\train_data\image_380.png
image_382,856.5120792388916,223.4382381439209,888.0698776245117,366.8665685653687,0,train,data\train_data\image_382.png
