id,split
image_289,train
image_290,train
image_291,train
image_292,train
image_294,train
image_295,train
image_296,train
image_298,train
image_299,train
image_301,train
image_302,train
image_304,train
image_306,train
image_307,val
image_308,train
image_310,train
image_311,train
image_312,train
image_313,train
image_321,train
image_322,train
image_323,val
image_324,train
image_326,train
image_327,val
image_328,train
image_329,train
image_330,val
image_331,train
image_332,train
image_334,train
image_335,train
image_336,train
image_337,train
image_338,train
image_339,train
image_340,val
image_344,val
image_347,train
image_348,train
image_349,train
image_350,val
image_351,train
image_356,train
image_359,train
image_365,train
image_367,train
image_369,train
image_372,train
image_373,val
image_376,train
image_378,val
image_379,train
image_380,train
image_382,train
image_386,train
image_388,train
image_389,train
image_391,train
image_392,train
image_393,val
image_394,val
image_395,train
image_398,train
image_401,train
image_402,train
image_403,train
image_404,train
image_407,train
image_408,train
image_409,train
image_410,train
image_411,train
image_412,train
image_413,val
image_414,train
image_415,train
image_416,train
image_417,train
image_418,train
image_419,train
image_420,train
image_421,train
image_422,val
image_427,train
image_428,train
image_429,val
image_431,train
image_432,val
image_434,train
image_435,train
image_437,train
image_438,train
image_440,train
image_443,val
image_446,val
image_448,val
image_449,val
image_450,train
image_451,val
image_452,train
image_454,train
image_455,train
image_456,train
image_457,train
image_458,train
image_459,val
image_460,train
image_461,train
image_464,train
image_465,train
image_466,val
image_467,train
image_469,train
image_470,train
image_471,train
image_472,train
image_474,train
image_475,train
image_477,train
image_480,train
image_481,train
image_482,train
image_483,train
image_485,train
image_486,train
image_487,train
image_489,train
image_490,train
image_491,train
image_494,train
image_495,train
image_497,train
image_498,train
image_500,train
image_501,train
image_502,train
image_503,train
image_505,train
image_506,train
image_507,val
image_508,train
image_511,train
image_512,train
image_513,train
image_514,val
image_515,train
image_516,train
image_517,val
image_519,train
image_521,val
image_522,val
image_524,train
image_525,train
image_526,val
image_529,train
image_530,val
image_532,train
image_533,train
image_534,train
image_535,train
image_537,train
image_539,train
image_540,train
image_541,train
image_542,train
image_543,train
image_544,train
image_545,train
image_547,train
image_548,train
image_549,train
image_550,train
image_551,train
image_553,train
image_555,val
image_556,train
image_557,val
image_558,train
image_559,train
image_562,train
image_563,train
image_564,train
image_565,val
image_568,val
image_570,train
image_571,train
image_572,train
image_573,train
image_574,train
image_575,train
image_577,train
image_578,val
image_579,train
image_581,val
image_582,train
image_583,train
image_584,train
image_585,train
image_586,train
image_587,train
image_588,train
image_590,train
image_591,train
image_592,train
image_593,val
image_594,train
image_596,train
image_597,val
image_598,val
image_599,train
image_600,train
image_601,train
image_602,train
image_604,train
image_606,train
image_608,train
image_609,train
image_610,train
image_611,train
image_613,train
image_614,train
image_615,train
image_616,train
image_617,train
image_618,train
image_619,train
image_620,train
image_622,train
image_623,train
image_624,train
image_626,train
image_627,val
image_628,train
image_629,val
image_634,train
image_636,train
image_637,train
image_638,train
image_639,train
image_640,train
image_641,train
image_642,train
image_643,train
image_644,train
image_645,train
image_646,val
image_647,train
image_648,train
image_649,train
image_650,train
image_651,train
image_652,val
image_653,train
image_654,train
image_655,train
image_656,train
image_657,train
image_658,val
image_659,val
image_660,train
image_661,val
image_663,train
image_664,val
image_665,val
image_666,train
image_667,val
image_669,val
image_670,val
image_671,train
image_672,train
image_673,train
image_674,val
image_675,train
image_676,train
image_677,train
image_678,train
image_679,train
image_680,train
image_681,train
image_682,train
image_684,train
image_685,val
image_686,val
image_687,train
image_689,train
image_690,train
image_693,val
image_695,train
image_696,train
image_699,train
image_700,train
image_701,train
image_702,train
image_703,train
image_704,train
image_705,train
image_706,train
image_708,train
image_709,train
image_710,train
image_712,train
image_714,train
image_715,train
image_716,train
image_717,train
image_719,train
image_720,train
image_721,train
image_722,train
image_723,train
image_724,train
image_725,train
image_727,train
image_729,train
image_730,val
image_731,train
image_732,val
image_735,train
image_736,train
image_737,train
image_738,train
image_739,train
image_740,train
image_741,train
image_742,val
image_743,val
image_745,train
image_746,train
image_747,val
image_748,train
image_750,train
image_751,train
image_753,train
image_754,val
image_755,train
image_758,train
image_760,train
image_761,train
image_763,train
image_764,val
image_765,train
image_767,train
image_769,train
image_770,train
image_771,train
image_773,train
image_774,train
image_775,train
image_776,val
image_777,train
image_778,val
image_779,train
image_780,train
image_781,val
image_782,train
image_783,train
image_784,train
image_785,train
image_786,val
image_787,train
image_788,train
image_791,train
image_793,train
image_794,train
image_795,train
image_796,train
image_797,val
image_798,val
image_800,train
image_801,train
image_802,train
image_803,train
image_804,train
image_805,train
image_807,train
image_808,train
image_809,train
image_811,train
image_812,val
image_813,train
image_814,train
image_815,train
image_816,train
image_817,train
image_819,train
image_821,train
image_823,val
image_824,train
image_826,train
image_827,train
image_828,val
image_829,train
image_830,train
image_831,train
image_833,train
image_834,train
image_835,train
image_836,val
image_837,val
image_839,val
image_841,train
image_842,train
image_843,train
image_844,val
image_845,train
image_846,train
image_847,val
image_848,train
image_849,train
image_850,train
image_851,train
image_852,train
image_853,train
image_854,train
image_855,train
image_856,train
image_857,train
image_858,train
image_859,train
image_864,train
image_867,train
image_868,train
image_869,train
image_870,train
image_872,train
image_873,train
image_876,train
image_877,train
image_878,train
image_879,train
image_880,train
image_881,train
image_882,train
image_884,train
image_885,val
image_886,train
image_887,val
image_888,train
image_889,train
image_890,train
image_891,val
image_892,train
image_893,train
image_894,train
image_895,val
image_896,val
image_897,val
image_899,train
image_900,val
image_901,val
image_903,train
image_904,train
image_905,val
image_906,train
image_907,train
image_908,train
image_910,train
image_911,val
image_912,train
image_913,train
image_914,val
image_915,train
image_916,val
image_917,train
image_918,val
image_920,train
image_921,train
image_922,train
image_923,train
image_924,train
image_927,train
image_928,train
image_929,val
image_930,train
image_932,train
image_933,train
image_935,train
image_936,train
image_938,train
image_939,train
image_940,train
image_941,train
image_942,train
image_943,train
image_945,train
image_947,train
image_949,train
image_951,train
image_952,train
image_953,train
image_954,train
image_955,train
image_958,train
image_959,train
image_961,train
image_963,train
image_964,train
image_965,train
image_966,train
image_968,train
image_969,train
image_970,train
image_971,train
image_972,val
image_974,val
image_975,train
image_976,val
image_977,train
image_978,train
image_979,train
image_980,train
image_982,train
image_983,train
image_984,train
image_985,train
image_986,train
image_987,val
image_988,train
image_989,train
image_993,train
image_994,train
image_995,train
image_996,train
image_997,train
image_998,train
image_999,train
image_1000,train
image_1001,train
image_1003,train
image_1004,val
image_1005,train
image_1006,train
image_1007,val
image_1008,val
image_1009,train
image_1010,train
image_1011,train
image_1012,train
image_1013,train
image_1015,train
image_1016,val
image_1018,train
image_1019,train
image_1020,train
image_1021,val
image_1022,train
image_1023,train
image_1024,val
image_1025,train
image_1026,val
image_1027,train
image_1028,train
image_1029,train
image_1030,val
image_1031,val
image_1033,train
image_1034,train
image_1035,train
image_1036,train
image_1037,train
image_1038,train
image_1039,train
image_1041,val
image_1042,train
image_1043,val
image_1044,val
image_1045,train
image_1046,train
image_1048,val
image_1049,train
image_1050,train
image_1051,val
image_1054,train
image_1056,train
image_1057,train
image_1058,train
image_1059,train
image_1060,val
image_1061,train
image_1062,train
image_1064,train
image_1066,train
image_1067,train
image_1068,train
image_1069,train
image_1070,train
image_1071,train
image_1072,train
image_1074,train
image_1075,train
image_1076,train
image_1078,train
image_1079,train
image_1080,val
image_1081,train
image_1082,train
image_1083,train
image_1084,train
image_1086,train
image_1087,val
image_1089,train
image_1090,val
image_1091,val
image_1092,train
image_1093,train
image_1095,train
image_1097,train
image_1098,train
image_1100,train
image_1101,train
image_1104,train
image_1105,train
image_1106,train
image_1107,train
image_1108,train
image_1109,val
image_1110,train
image_1111,train
image_1113,train
image_1116,train
image_1118,train
image_1121,val
image_1123,train
image_1124,train
image_1126,train
image_1129,train
image_1131,train
image_1136,train
image_1137,train
image_1138,val
image_1139,train
image_1140,train
image_1142,train
image_1143,train
image_1144,train
image_1145,train
image_1146,train
image_1147,train
image_1148,train
image_1149,train
image_1150,val
image_1151,train
image_1152,train
image_1153,train
image_1154,train
image_1155,train
image_1156,train
image_1158,train
image_1159,train
image_1160,val
image_1161,train
image_1162,train
image_1164,train
image_1165,train
image_1166,train
image_1167,train
image_1168,train
image_1169,train
image_1171,train
image_1172,train
image_1173,train
image_1174,val
image_1177,train
image_1178,train
image_1179,train
image_1183,train
image_1184,val
image_1185,train
image_1186,train
image_1187,train
image_1188,val
image_1189,val
image_1191,train
image_1192,train
image_1193,train
image_1194,train
image_1195,train
image_1196,val
image_1197,train
image_1198,train
image_1199,train
image_1200,train
image_1201,train
image_1202,val
image_1203,val
image_1204,val
image_1205,val
image_1206,train
image_1207,train
image_1208,train
image_1209,val
image_1210,train
image_1212,train
image_1213,train
image_1214,val
image_1215,train
image_1216,train
image_1217,train
image_1219,train
image_1221,train
image_1223,val
image_1224,train
image_1225,val
image_1226,train
image_1227,train
image_1228,train
image_1230,val
image_1232,train
image_1233,train
image_1235,val
image_1236,val
image_1237,train
image_1238,train
image_1239,val
image_1241,train
image_1242,val
image_1243,train
image_1244,train
image_1246,train
image_1248,train
image_1250,train
image_1251,train
image_1253,train
image_1254,train
image_1255,train
image_1256,train
image_1257,train
image_1258,train
image_1260,train
image_1261,train
image_1262,train
image_1263,train
image_1264,val
image_1265,train
image_1266,train
image_1269,train
image_1271,train
image_1272,val
image_1273,val
image_1274,train
image_1275,val
image_1276,val
image_1278,train
image_1280,train
image_1281,train
image_1282,train
image_1284,train
image_1285,train
image_1288,train
image_1289,train
image_1290,train
image_1291,train
image_1292,train
image_1293,val
image_1294,train
image_1295,train
image_1297,train
image_1299,train
image_1300,train
image_1301,val
image_1302,val
image_1303,train
image_1304,val
image_1306,train
image_1310,val
image_1311,train
image_1312,train
image_1313,train
image_1314,val
image_1315,train
image_1316,val
image_1317,train
image_1318,train
image_1319,train
image_1320,train
image_1321,train
image_1322,train
image_1324,val
image_1325,train
image_1326,train
image_1327,train
image_1328,train
image_1330,train
image_1332,train
image_1333,train
image_1334,train
image_1336,train
image_1338,train
image_1340,val
image_1341,train
image_1342,train
image_1343,train
image_1344,train
image_1346,train
image_1347,train
image_1348,train
image_1349,train
image_1351,train
image_1354,val
image_1355,train
image_1356,val
image_1358,train
image_1360,train
image_1362,train
image_1363,train
image_1364,train
image_1366,train
image_1367,train
image_1368,train
image_1369,train
image_1370,train
image_1371,train
image_1372,train
image_1373,train
image_1374,train
image_1375,train
image_1377,train
image_1378,train
image_1379,train
image_1380,train
image_1381,train
image_1382,train
image_1383,train
image_1384,train
image_1385,train
image_1386,train
image_1387,train
image_1388,train
image_1389,train
image_1390,train
image_1391,val
image_1392,train
image_1394,val
image_1395,train
image_1397,val
image_1398,train
image_1399,val
image_1404,train
image_1405,train
image_1407,train
image_1408,val
image_1410,train
image_1411,train
image_1412,train
image_1415,train
image_1416,val
image_1420,train
image_1421,train
image_1422,train
image_1423,train
image_1424,val
image_1425,train
image_1426,val
image_1427,train
image_1428,train
image_1429,train
image_1430,train
image_1432,val
image_1433,train
image_1434,val
image_1435,train
image_1436,train
image_1437,val
image_1439,train
image_1440,train
image_1441,val
image_1442,train
image_1443,train
image_1444,val
image_1446,train
image_1449,train
image_1450,train
image_1451,train
image_1452,train
image_1455,val
image_1456,val
image_1457,train
image_1458,val
image_1460,train
image_1461,val
image_1462,train
image_1463,train
image_1464,val
image_1465,train
image_1467,val
image_1468,val
image_1470,val
image_1471,val
image_1472,val
image_1474,train
image_1475,train
image_1476,train
image_1477,train
image_1478,train
image_1479,train
image_1480,train
image_1481,train
image_1482,train
image_1483,train
image_1485,val
image_1486,val
image_1487,val
image_1488,train
image_1489,train
image_1490,train
image_1491,train
image_1492,train
image_1493,train
image_1494,train
image_1495,val
image_1497,train
image_1498,val
image_1499,train
image_1500,train
image_1502,val
image_1504,val
image_1505,train
image_1506,train
image_1508,train
image_1509,train
image_1510,val
image_1511,train
image_1513,train
image_1515,train
image_1516,train
image_1518,train
image_1519,train
image_1520,val
image_1521,train
image_1522,train
image_1523,train
image_1524,train
image_1526,train
image_1529,train
image_1530,train
image_1531,val
image_1533,train
image_1534,train
image_1535,train
image_1536,train
image_1537,train
image_1539,train
image_1540,val
image_1541,train
image_1542,train
image_1543,train
image_1544,train
image_1546,train
image_1547,train
image_1549,train
image_1550,train
image_1551,train
image_1552,train
image_1553,train
image_1554,train
image_1555,train
image_1556,train
image_1557,train
image_1558,train
image_1559,val
image_1560,train
image_1561,train
image_1562,train
image_1563,train
image_1564,val
image_1565,train
image_1566,val
image_1568,train
image_1569,train
image_1570,train
image_1571,train
image_1572,train
image_1573,train
image_1575,train
image_1576,train
image_1579,train
image_1580,train
image_1581,val
image_1582,val
image_1583,train
image_1584,val
image_1585,train
image_1586,train
image_1587,train
image_1588,train
image_1589,train
image_1590,val
image_1592,train
image_1593,val
image_1594,train
image_1596,train
image_1597,train
image_1599,train
image_1600,train
image_1601,train
image_1602,train
image_1605,train
image_1606,train
image_1607,train
image_1608,train
image_1609,train
image_1612,train
image_1614,val
image_1616,train
image_1618,train
image_1619,train
image_1620,train
image_1621,train
image_1622,train
image_1626,train
image_1628,train
image_1629,train
image_1630,train
image_1632,train
image_1633,val
image_1634,train
image_1635,val
image_1636,train
image_1637,train
image_1638,train
image_1639,train
image_1640,train
image_1641,train
image_1642,train
image_1644,train
image_1645,train
image_1646,train
image_1647,train
image_1649,val
image_1650,train
image_1651,train
image_1652,train
image_1654,train
image_1656,val
image_1657,val
image_1660,train
image_1661,train
image_1662,train
image_1663,train
image_1664,train
image_1666,val
image_1667,train
image_1668,train
image_1669,train
image_1670,train
image_1671,val
image_1672,train
image_1673,train
image_1675,val
image_1677,val
image_1678,train
image_1679,val
image_1681,train
image_1682,train
image_1683,train
image_1685,train
image_1688,train
image_1690,train
image_1693,val
image_1696,train
image_1697,val
image_1698,train
image_1699,train
image_1700,train
image_1701,train
image_1702,train
image_1703,train
image_1707,train
image_1708,train
image_1709,train
image_1710,train
image_1711,val
image_1712,train
image_1713,train
image_1714,train
image_1715,val
image_1716,val
image_1717,val
image_1723,train
image_1725,train
image_1726,train
image_1727,train
image_1728,train
image_1730,train
image_1732,train
image_1734,train
image_1735,train
image_1736,train
image_1738,train
image_1739,train
image_1740,train
image_1742,val
image_1743,train
image_1744,train
image_1747,train
image_1748,train
image_1749,val
image_1750,train
image_1751,train
image_1752,train
image_1754,train
image_1756,train
image_1757,train
image_1758,train
image_1759,val
image_1761,train
image_1762,train
image_1764,train
image_1765,train
image_1766,train
image_1767,train
image_1768,train
image_1770,val
image_1772,train
image_1774,val
image_1776,train
image_1778,val
image_1779,train
image_1780,train
image_1781,val
image_1782,train
image_1783,train
image_1785,val
image_1787,train
image_1788,val
image_1790,train
image_1791,train
image_1792,val
image_1793,train
image_1794,train
image_1795,val
image_1796,train
image_1797,train
image_1798,train
image_1799,train
image_1800,train
image_1802,train
image_1803,train
image_1804,val
image_1810,train
image_1811,train
image_1815,train
image_1818,val
image_1821,val
image_1826,val
image_1831,train
image_1832,train
image_1840,train
image_1842,train
image_1845,train
image_1846,train
image_1847,train
image_1850,val
image_1852,val
image_1853,val
image_1856,train
image_1858,val
image_1859,train
image_1860,train
image_1861,train
image_1863,train
image_1864,train
image_1865,train
image_1866,train
image_1867,train
image_1868,train
image_1870,train
image_1871,train
image_1872,train
image_1873,train
image_1875,train
image_1877,train
image_1878,train
image_1879,train
image_1880,train
image_1882,train
image_1883,train
image_1884,train
image_1886,val
image_1888,train
image_1892,train
image_1893,train
image_1894,train
image_1898,train
image_1901,train
image_1902,train
image_1903,val
image_1904,train
image_1907,train
image_1910,val
image_1911,train
image_1912,train
image_1913,train
image_1915,train
image_1917,train
image_1920,train
image_1921,train
image_1924,train
image_1925,train
image_1926,val
image_1929,train
image_1930,train
image_1931,train
image_1933,val
image_1934,val
image_1936,train
image_1937,val
image_1938,train
image_1941,val
image_1943,train
image_1947,val
image_1948,val
image_1954,train
image_1955,train
image_1957,train
image_1960,train
image_1962,train
image_1964,train
image_1965,train
image_1967,train
image_1968,train
image_1971,train
image_1972,train
image_1973,train
image_1974,train
image_1975,train
image_1978,train
image_1979,train
image_1982,train
image_1984,train
image_1985,val
image_1986,train
image_1987,train
image_1988,val
image_1989,train
image_1990,train
image_1991,train
image_1993,val
image_1996,train
image_1997,train
image_1998,train
image_1999,train
image_2000,train
image_2002,train
image_2004,train
image_2007,val
image_2008,val
image_2009,val
image_2020,val
image_2021,val
image_2022,train
image_2024,train
image_2027,train
image_2030,val
image_2031,val
image_2033,train
image_2034,train
image_2035,train
image_2038,train
image_2042,train
image_2044,train
image_2046,train
image_2049,train
image_2050,val
image_2052,train
image_2053,train
image_2054,train
image_2055,train
image_2057,train
image_2058,train
image_2059,train
image_2060,train
image_2062,train
image_2063,train
image_2065,train
image_2066,train
image_2067,train
image_2068,train
image_2069,train
image_2070,train
image_2074,train
image_2077,train
image_2085,val
image_2087,train
image_2092,train
image_2093,val
image_2103,train
image_2105,train
image_2106,val
image_2107,val
image_2109,val
image_2110,train
image_2112,train
image_2113,train
image_2116,val
image_2118,val
image_2119,val
image_2123,train
image_2126,train
image_2127,val
image_2130,train
image_2133,val
image_2135,train
image_2138,train
image_2139,train
image_2142,val
image_2146,val
image_2148,train
image_2149,train
image_2150,train
image_2154,val
image_2156,val
image_2157,train
image_2158,train
image_2161,train
image_2162,train
image_2164,train
image_2169,train
image_2172,train
image_2175,val
image_2176,val
image_2179,train
image_2181,val
image_2183,val
image_2184,val
image_2188,train
image_2194,train
image_2201,train
image_2202,train
image_2206,train
image_2207,train
image_2208,val
image_2212,train
image_2214,train
image_2216,train
image_2217,train
image_2220,train
image_2222,train
image_2223,train
image_2225,train
image_2226,train
image_2228,val
image_2229,train
image_2230,train
image_2233,train
image_2234,train
image_2236,train
image_2237,train
image_2238,train
image_2239,train
image_2240,train
image_2244,train
image_2245,train
image_2248,train
image_2250,train
image_2257,train
image_2260,train
image_2265,train
image_2267,train
image_2268,val
image_2270,train
image_2271,val
image_2278,train
image_2279,train
image_2281,train
image_2282,train
image_2284,train
image_2288,train
image_2292,train
image_2295,train
image_2298,train
image_2317,val
image_2318,train
image_2323,train
image_2325,train
image_2329,train
image_2330,train
image_2332,train
image_2338,train
image_2341,val
image_2344,val
image_2349,val
image_2351,train
image_2357,train
image_2359,train
image_2366,val
image_2367,train
image_2368,train
image_2370,train
image_2379,train
image_2383,train
image_2389,train
image_2390,train
image_2391,train
image_2395,val
image_2401,train
image_2403,train
image_2404,train
image_2405,train
image_2406,train
image_2411,train
image_2419,train
image_2423,train
image_2430,val
image_2433,train
image_2434,train
image_2438,val
image_2443,train
image_2444,train
image_2446,train
image_2454,train
image_2456,train
image_2457,train
image_2462,train
image_2467,train
image_2469,val
image_2479,train
image_2489,train
image_2496,train
image_2498,train
image_2502,train
image_2509,train
image_2517,train
image_2521,train
image_2529,train
image_2533,train
image_2537,train
image_2539,train
image_2547,train
image_2551,train
image_2555,train
image_2563,train
image_2570,train
image_2571,train
image_2580,train
image_2584,train
image_2592,train
image_2599,train
image_2600,train
image_2602,train
image_2603,train
image_2605,train
image_2606,val
image_2612,train
image_2613,train
image_2619,train
image_2623,train
image_2625,train
image_2628,val
image_2632,train
image_2634,val
image_2635,train
image_2638,train
image_2642,train
image_2645,train
image_2648,val
image_2669,train
image_2672,train
image_2684,train
image_2689,train
image_2711,train
image_2740,train
image_2749,train
image_2766,val
image_2792,train
image_2872,train
image_2922,train
image_2943,train
image_2976,train
image_2977,train
image_2978,train
image_2980,val
image_2981,train
image_2983,train
image_2984,train
image_2986,val
image_2987,train
image_2988,val
image_2989,train
image_2994,train
image_2996,train
image_2999,train
